Designator,Mid X,Mid Y,Rotation,Layer
C1,138.3,-56.3,270.0,top
C2,144.55,-56.05,270.0,top
C3,150.8,-56.05,270.0,top
D1,134.6,-70.35,270.0,top
D2,134.6,-85.15,270.0,top
D3,136.3,-70.65,90.0,top
D4,136.3,-85.45,90.0,top
D5,152.625,-70.635,90.0,top
D6,152.7,-85.45,90.0,top
D7,154.325,-70.335,270.0,top
D8,154.3,-85.05,270.0,top
Q1,119.4,-68.67,180.0,top
Q2,119.35,-83.49,180.0,top
Q3,169.475,-68.675,0.0,top
Q4,169.475,-83.375,0.0,top
R1,132.4,-67.15,90.0,top
R10,154.3,-81.45,90.0,top
R11,157.8,-67.25,270.0,top
R12,157.9,-81.85,270.0,top
R2,132.4,-81.95,90.0,top
R3,135.5,-66.35,0.0,top
R4,135.5,-81.15,0.0,top
R5,139.4,-71.25,180.0,top
R6,139.4,-86.05,180.0,top
R7,149.5,-71.25,0.0,top
R8,149.5,-86.05,0.0,top
R9,154.3,-66.65,90.0,top
TP1,109.6,-72.21,0.0,top
TP2,110.0,-86.935,0.0,top
TP3,138.3,-60.5,0.0,top
TP4,144.6,-47.2,0.0,top
TP5,179.1,-66.0,0.0,top
TP6,179.2,-80.25,0.0,top
